"股票代號","股票名稱","收盤價","漲跌","最高價","最低價","成交量"
"8909","中友",26.90,-0.10,27.00,26.50,210
"8910","五洲",26.60,-0.50,27.00,26.50,75
"9801","力霸",15.60,-0.10,15.60,15.30,1331
"9901","工礦",76.00,-1.00,77.00,75.50,312
"9902","台火",54.50,-0.50,55.00,54.00,1330
"9904","寶成",189.00,-3.00,196.00,188.00,5829
"9905","大華金",29.30,-0.50,30.20,29.00,248
"9906","興達",12.00,-0.20,12.20,12.00,820
"9907","統一實",38.20,0.00,38.70,38.10,5082
"9908","大台北",25.10,-0.30,25.40,24.90,550
"9910","豐泰",86.00,-0.50,87.50,85.00,989
"9911","櫻花",63.00,-0.50,64.50,62.50,1272
"9912","偉聯",16.20,0.00,16.50,16.20,211
"9913","美式",39.60,1.40,39.60,37.60,6507
"9914","美利達",26.70,0.00,26.70,26.70,1083
"9915","億豐",32.90,0.80,33.50,31.50,2027
"9917","中保",111.00,1.00,111.00,110.50,26
"9918","欣天然",37.70,-0.10,37.80,36.50,948
"9919","康那香",56.00,1.50,57.00,54.50,659
"9921","巨大",62.50,2.50,63.00,60.50,4824
